Raw ADC: 3780.0 | Calculated Volume: -0.33 ml
Raw ADC: 3776.0 | Calculated Volume: -0.25 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3776.0 | Calculated Volume: -0.25 ml
Raw ADC: 3782.0 | Calculated Volume: -0.36 ml
Raw ADC: 3785.0 | Calculated Volume: -0.42 ml
Raw ADC: 3780.0 | Calculated Volume: -0.33 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3774.0 | Calculated Volume: -0.21 ml
Raw ADC: 3782.0 | Calculated Volume: -0.36 ml
Raw ADC: 3788.0 | Calculated Volume: -0.48 ml
Raw ADC: 3777.0 | Calculated Volume: -0.27 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3780.0 | Calculated Volume: -0.33 ml
Raw ADC: 3792.0 | Calculated Volume: -0.55 ml
Raw ADC: 3783.0 | Calculated Volume: -0.38 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3768.0 | Calculated Volume: -0.10 ml
Raw ADC: 3776.0 | Calculated Volume: -0.25 ml
Raw ADC: 3788.0 | Calculated Volume: -0.48 ml
Raw ADC: 3792.0 | Calculated Volume: -0.55 ml
Raw ADC: 3780.0 | Calculated Volume: -0.33 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3776.0 | Calculated Volume: -0.25 ml
Raw ADC: 3784.0 | Calculated Volume: -0.40 ml
Raw ADC: 3788.0 | Calculated Volume: -0.48 ml
Raw ADC: 3780.0 | Calculated Volume: -0.33 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3776.0 | Calculated Volume: -0.25 ml
Raw ADC: 3784.0 | Calculated Volume: -0.40 ml
Raw ADC: 3784.0 | Calculated Volume: -0.40 ml
Raw ADC: 3780.0 | Calculated Volume: -0.33 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3772.0 | Calculated Volume: -0.17 ml
Raw ADC: 3788.0 | Calculated Volume: -0.48 ml
Raw ADC: 3784.0 | Calculated Volume: -0.40 ml
--------------------------------------------------
BATCH COMPLETE! AVERAGE ADC: 3778.68 | AVERAGE VOLUME: -0.30 ml
--------------------------------------------------

Raw ADC: 2944.0 | Calculated Volume: 12.46 ml
Raw ADC: 2949.0 | Calculated Volume: 12.36 ml
Raw ADC: 3016.0 | Calculated Volume: 11.10 ml
Raw ADC: 2813.0 | Calculated Volume: 14.94 ml
Raw ADC: 2870.0 | Calculated Volume: 13.86 ml
Raw ADC: 2897.0 | Calculated Volume: 13.35 ml
Raw ADC: 3092.0 | Calculated Volume: 9.66 ml
Raw ADC: 3062.0 | Calculated Volume: 10.23 ml
Raw ADC: 3058.0 | Calculated Volume: 10.30 ml
Raw ADC: 3056.0 | Calculated Volume: 10.34 ml
Raw ADC: 3052.0 | Calculated Volume: 10.42 ml
Raw ADC: 3060.0 | Calculated Volume: 10.26 ml
Raw ADC: 3068.0 | Calculated Volume: 10.11 ml
Raw ADC: 3076.0 | Calculated Volume: 9.96 ml
Raw ADC: 3076.0 | Calculated Volume: 9.96 ml
Raw ADC: 3062.0 | Calculated Volume: 10.23 ml
Raw ADC: 3056.0 | Calculated Volume: 10.34 ml
Raw ADC: 3060.0 | Calculated Volume: 10.26 ml
Raw ADC: 3068.0 | Calculated Volume: 10.11 ml
Raw ADC: 3071.0 | Calculated Volume: 10.06 ml
Raw ADC: 3060.0 | Calculated Volume: 10.26 ml
Raw ADC: 3060.0 | Calculated Volume: 10.26 ml
Raw ADC: 3052.0 | Calculated Volume: 10.42 ml
Raw ADC: 3052.0 | Calculated Volume: 10.42 ml
Raw ADC: 3056.0 | Calculated Volume: 10.34 ml
Raw ADC: 3068.0 | Calculated Volume: 10.11 ml
Raw ADC: 3061.0 | Calculated Volume: 10.25 ml
Raw ADC: 3056.0 | Calculated Volume: 10.34 ml
Raw ADC: 3044.0 | Calculated Volume: 10.57 ml
Raw ADC: 3036.0 | Calculated Volume: 10.72 ml
