time_s,bpm_rubber,bpm_thermistor,bpm_fused,error_rubber,error_thermistor,error_fused,sq_error_rubber,sq_error_thermistor,sq_error_fused
15.008,28.06,28.78,28.07,na,na,na,na,na,na
15.333,29.24,22.60,29.18,na,na,na,na,na,na
15.507,29.22,27.44,29.20,na,na,na,na,na,na
15.757,29.17,27.69,29.16,na,na,na,na,na,na
16.008,29.17,23.08,29.11,na,na,na,na,na,na
16.258,29.24,27.69,29.23,na,na,na,na,na,na
16.508,33.27,27.69,33.22,na,na,na,na,na,na
16.758,29.27,27.69,29.25,na,na,na,na,na,na
17.009,30.02,19.50,29.92,na,na,na,na,na,na
17.258,33.33,30.11,33.30,na,na,na,na,na,na
17.509,33.49,30.17,33.46,na,na,na,na,na,na
17.758,33.68,30.03,33.64,na,na,na,na,na,na
18.009,33.73,23.08,33.63,na,na,na,na,na,na
18.259,33.73,29.53,33.69,na,na,na,na,na,na
18.510,34.24,24.61,34.14,na,na,na,na,na,na
18.760,33.71,29.53,33.67,na,na,na,na,na,na
19.010,33.71,29.53,33.67,na,na,na,na,na,na
19.260,33.71,30.93,33.68,na,na,na,na,na,na
19.511,33.73,29.56,33.69,na,na,na,na,na,na
19.760,33.71,28.20,33.65,na,na,na,na,na,na
20.010,33.71,19.72,33.57,na,na,na,na,na,na
20.261,32.85,24.87,32.77,na,na,na,na,na,na
20.511,38.01,20.69,37.84,na,na,na,na,na,na
20.760,38.01,20.91,37.84,na,na,na,na,na,na
21.010,38.01,26.76,37.90,na,na,na,na,na,na
21.260,35.38,26.76,35.30,na,na,na,na,na,na
21.511,31.44,26.76,31.39,na,na,na,na,na,na
21.761,35.53,26.76,35.45,na,na,na,na,na,na
22.012,35.47,26.76,35.39,na,na,na,na,na,na
22.262,35.47,26.76,35.39,na,na,na,na,na,na
22.511,31.63,26.76,31.58,na,na,na,na,na,na
22.761,31.58,26.76,31.53,na,na,na,na,na,na
23.011,35.23,26.65,35.15,na,na,na,na,na,na
23.262,35.09,26.67,35.00,na,na,na,na,na,na
23.513,31.94,26.65,31.89,na,na,na,na,na,na
23.763,31.94,23.65,31.86,na,na,na,na,na,na
24.013,31.89,26.47,31.84,na,na,na,na,na,na
24.263,31.87,26.47,31.81,na,na,na,na,na,na
24.513,31.87,22.71,31.77,na,na,na,na,na,na
24.763,31.87,31.72,31.86,na,na,na,na,na,na
25.012,31.09,20.22,30.98,na,na,na,na,na,na
25.263,31.11,20.22,31.01,na,na,na,na,na,na
25.512,31.09,20.22,30.98,na,na,na,na,na,na
25.763,31.06,17.03,30.92,na,na,na,na,na,na
26.013,25.88,23.47,25.86,na,na,na,na,na,na
26.264,25.86,23.47,25.84,na,na,na,na,na,na
26.514,23.98,23.47,23.97,na,na,na,na,na,na
26.763,24.00,18.78,23.95,na,na,na,na,na,na
27.015,22.80,23.47,22.80,na,na,na,na,na,na
27.264,22.71,23.08,22.71,na,na,na,na,na,na
27.514,22.66,28.85,22.72,na,na,na,na,na,na
27.764,22.64,17.31,22.59,na,na,na,na,na,na
28.015,25.77,28.85,25.80,na,na,na,na,na,na
28.265,25.75,28.85,25.78,na,na,na,na,na,na
28.514,25.75,28.85,25.78,na,na,na,na,na,na
28.765,25.73,28.85,25.76,na,na,na,na,na,na
29.015,25.71,28.85,25.74,na,na,na,na,na,na
29.265,20.64,26.61,20.70,na,na,na,na,na,na
29.515,18.09,26.73,18.18,na,na,na,na,na,na
